,user_00,user_01,user_02,user_03,user_04,user_05,user_06,user_07,user_08,user_09,user_10,user_11,user_12,user_13,user_14,user_15,user_16,user_17,user_18,user_19,user_20,user_21,user_22,user_23,user_24,user_25,user_26,user_27,user_28,user_29,user_30,user_31,user_32,user_33,user_34,user_35,user_36,user_37,user_38,user_39,user_40,user_41,user_42,user_43,user_44,user_45,user_46,user_47,user_48,user_49
user_10,0.1429,0.1268,0.1940,0.1429,0.1429,0.1765,0.1429,0.1111,0.1594,0.2500,1.0000,0.2121,0.1594,0.1765,0.2121,0.1594,0.1765,0.1594,0.1594,0.1429,0.2500,0.1594,0.1594,0.1268,0.1429,0.1940,0.1765,0.1268,0.0959,0.2121,0.2500,0.2121,0.1765,0.1765,0.1594,0.1429,0.1594,0.1429,0.1594,0.2121,0.1429,0.1765,0.1594,0.1429,0.1594,0.1765,0.1765,0.1268,0.1940,0.1765
user_11,0.1429,0.1268,0.1429,0.1268,0.1940,0.1429,0.1111,0.1765,0.1268,0.1940,0.2121,1.0000,0.0667,0.0959,0.2500,0.1940,0.0959,0.1594,0.1111,0.1111,0.1268,0.2308,0.1111,0.0959,0.1429,0.1268,0.1268,0.1765,0.0667,0.2121,0.1429,0.1429,0.1594,0.2308,0.1111,0.1594,0.1268,0.1429,0.1940,0.1940,0.1268,0.1429,0.1429,0.1268,0.1594,0.1268,0.1268,0.1765,0.1429,0.1765
user_12,0.1594,0.1594,0.2308,0.1111,0.1594,0.1765,0.1268,0.1594,0.1429,0.1111,0.1594,0.0667,1.0000,0.1594,0.0959,0.0667,0.1429,0.1268,0.1594,0.1268,0.1594,0.0811,0.1111,0.1765,0.1268,0.1268,0.1594,0.1594,0.0667,0.1268,0.1111,0.1429,0.1111,0.1111,0.1429,0.1594,0.1429,0.1594,0.0959,0.1111,0.0959,0.0959,0.1268,0.1111,0.1268,0.1111,0.1940,0.0959,0.1765,0.1594
user_13,0.1111,0.1429,0.1594,0.0667,0.1594,0.1765,0.1594,0.1111,0.0811,0.1940,0.1765,0.0959,0.1594,1.0000,0.1940,0.1111,0.1765,0.1594,0.1111,0.0959,0.0959,0.1268,0.1111,0.1429,0.1111,0.1594,0.1268,0.1268,0.1429,0.2121,0.1940,0.1429,0.1594,0.1268,0.1268,0.1268,0.0959,0.1111,0.1594,0.1765,0.1111,0.1268,0.1111,0.1111,0.1940,0.0959,0.1429,0.1940,0.1594,0.1429
user_14,0.1268,0.1429,0.1594,0.1268,0.1268,0.1429,0.2121,0.1268,0.0959,0.2903,0.2121,0.2500,0.0959,0.1940,1.0000,0.1765,0.1594,0.1765,0.1111,0.1429,0.1429,0.1765,0.0811,0.0811,0.1111,0.1765,0.1111,0.1940,0.1111,0.2121,0.2121,0.1429,0.2121,0.1765,0.0959,0.1765,0.0959,0.1429,0.2121,0.1940,0.1765,0.0526,0.1111,0.1594,0.1429,0.1111,0.1268,0.1594,0.1429,0.1429
user_15,0.1594,0.0811,0.0959,0.1111,0.1268,0.0959,0.0959,0.1111,0.1111,0.1765,0.1594,0.1940,0.0667,0.1111,0.1765,1.0000,0.0667,0.1429,0.0959,0.0959,0.1429,0.1594,0.0959,0.0811,0.1111,0.1111,0.0811,0.1111,0.1268,0.2121,0.0811,0.1268,0.1594,0.1765,0.1429,0.1111,0.0959,0.1268,0.1594,0.1765,0.1268,0.0959,0.1429,0.1594,0.2121,0.1429,0.0526,0.2121,0.1594,0.1268
user_16,0.0959,0.1429,0.1940,0.1765,0.1111,0.3115,0.1429,0.1594,0.1268,0.1940,0.1765,0.0959,0.1429,0.1765,0.1594,0.0667,1.0000,0.1765,0.1940,0.1429,0.1429,0.1111,0.1429,0.1765,0.1268,0.1594,0.1940,0.0667,0.1111,0.1111,0.2308,0.1940,0.1594,0.1268,0.1268,0.0667,0.1268,0.1765,0.1268,0.1940,0.1429,0.1268,0.1429,0.1765,0.1765,0.2121,0.1765,0.1429,0.1111,0.1765
user_17,0.1111,0.1268,0.1268,0.1429,0.1268,0.1429,0.1940,0.1268,0.1268,0.1940,0.1594,0.1594,0.1268,0.1594,0.1765,0.1429,0.1765,1.0000,0.1594,0.1429,0.1268,0.1940,0.1111,0.0959,0.1268,0.1594,0.1111,0.1940,0.1594,0.2308,0.1111,0.1765,0.2121,0.1594,0.0959,0.1111,0.0811,0.1111,0.1268,0.2121,0.1268,0.0811,0.1429,0.0959,0.1429,0.1429,0.1429,0.1594,0.1940,0.1429
user_18,0.1429,0.1111,0.1429,0.1429,0.1594,0.2308,0.1111,0.1594,0.1268,0.1111,0.1594,0.1111,0.1594,0.1111,0.1111,0.0959,0.1940,0.1594,1.0000,0.1268,0.1940,0.0959,0.1940,0.1765,0.1268,0.1429,0.1940,0.1429,0.1111,0.1268,0.2500,0.2121,0.1765,0.1594,0.1765,0.1268,0.1594,0.1765,0.1594,0.1765,0.1111,0.1429,0.1765,0.1429,0.1429,0.1765,0.2500,0.1268,0.1429,0.1429
user_19,0.1268,0.1429,0.1940,0.1429,0.1111,0.1429,0.1268,0.1111,0.1268,0.1429,0.1429,0.1111,0.1268,0.0959,0.1429,0.0959,0.1429,0.1429,0.1268,1.0000,0.1268,0.1268,0.1268,0.1429,0.1594,0.1268,0.1111,0.1111,0.1268,0.1429,0.1429,0.1594,0.1940,0.1765,0.1429,0.1268,0.1111,0.0959,0.1765,0.1429,0.1765,0.1111,0.1111,0.1111,0.1429,0.0959,0.0667,0.1765,0.0811,0.1268
user_20,0.1940,0.1594,0.2121,0.1594,0.1268,0.1940,0.1429,0.1594,0.1765,0.1268,0.2500,0.1268,0.1594,0.0959,0.1429,0.1429,0.1429,0.1268,0.1940,0.1268,1.0000,0.1111,0.1594,0.1940,0.1111,0.1111,0.1594,0.1429,0.1111,0.1268,0.1765,0.2308,0.1429,0.1111,0.2308,0.1594,0.1765,0.0811,0.1429,0.1429,0.1594,0.1429,0.1111,0.0959,0.1429,0.1111,0.1940,0.0959,0.1429,0.1429
user_21,0.1268,0.0811,0.1429,0.1940,0.0959,0.1429,0.1268,0.0959,0.0811,0.2500,0.1594,0.2308,0.0811,0.1268,0.1765,0.1594,0.1111,0.1940,0.0959,0.1268,0.1111,1.0000,0.0667,0.0667,0.1940,0.0667,0.0526,0.1268,0.0811,0.1940,0.0959,0.0959,0.1940,0.1268,0.1429,0.0811,0.1268,0.1111,0.2500,0.1940,0.1111,0.0959,0.1268,0.1765,0.1268,0.1429,0.0959,0.1765,0.1268,0.1111
user_22,0.1765,0.1594,0.1765,0.0959,0.1765,0.1594,0.1111,0.1429,0.1268,0.1429,0.1594,0.1111,0.1111,0.1111,0.0811,0.0959,0.1429,0.1111,0.1940,0.1268,0.1594,0.0667,1.0000,0.1940,0.0959,0.1111,0.2121,0.1268,0.1268,0.1429,0.1594,0.1594,0.1429,0.1594,0.1111,0.1594,0.0959,0.1111,0.1765,0.1268,0.1268,0.1594,0.1429,0.1268,0.1765,0.1268,0.1940,0.0959,0.1594,0.1268
user_23,0.1765,0.1765,0.1594,0.1429,0.1111,0.2121,0.0811,0.2121,0.1594,0.0959,0.1268,0.0959,0.1765,0.1429,0.0811,0.0811,0.1765,0.0959,0.1765,0.1429,0.1940,0.0667,0.1940,1.0000,0.1111,0.1268,0.1765,0.1268,0.1268,0.1111,0.1940,0.1429,0.1429,0.0959,0.1765,0.1429,0.1594,0.1429,0.0959,0.0811,0.1594,0.2121,0.1111,0.1268,0.1594,0.1940,0.1940,0.1594,0.1111,0.1594
user_24,0.1268,0.0959,0.2308,0.1429,0.1268,0.1268,0.1429,0.1429,0.1594,0.0959,0.1429,0.1429,0.1268,0.1111,0.1111,0.1111,0.1268,0.1268,0.1268,0.1594,0.1111,0.1940,0.0959,0.1111,1.0000,0.0959,0.1111,0.0959,0.0526,0.1111,0.1594,0.1429,0.1111,0.1268,0.1268,0.1429,0.3333,0.0959,0.1765,0.1111,0.1940,0.1940,0.1940,0.1594,0.1429,0.1940,0.1268,0.1429,0.1111,0.1268
user_25,0.1429,0.0959,0.1594,0.1111,0.1429,0.1765,0.0959,0.0959,0.1268,0.1765,0.1940,0.1268,0.1268,0.1594,0.1765,0.1111,0.1594,0.1594,0.1429,0.1268,0.1111,0.0667,0.1111,0.1268,0.0959,1.0000,0.1765,0.1429,0.1765,0.1268,0.1594,0.1594,0.1268,0.1594,0.1429,0.1765,0.0811,0.1765,0.1429,0.1765,0.0811,0.1765,0.1268,0.1429,0.1111,0.1594,0.1429,0.1940,0.1429,0.2121
user_26,0.2698,0.2698,0.1765,0.0811,0.1765,0.1594,0.1268,0.1594,0.1111,0.0959,0.1765,0.1268,0.1594,0.1268,0.1111,0.0811,0.1940,0.1111,0.1940,0.1111,0.1594,0.0526,0.2121,0.1765,0.1111,0.1765,1.0000,0.1594,0.1429,0.1594,0.1594,0.1765,0.0959,0.1429,0.1765,0.2121,0.1765,0.1268,0.0959,0.1594,0.1594,0.1765,0.1940,0.1765,0.1429,0.1940,0.1765,0.1765,0.1594,0.1594
user_27,0.1429,0.1111,0.1111,0.1111,0.0959,0.1111,0.1594,0.1268,0.0526,0.1429,0.1268,0.1765,0.1594,0.1268,0.1940,0.1111,0.0667,0.1940,0.1429,0.1111,0.1429,0.1268,0.1268,0.1268,0.0959,0.1429,0.1594,1.0000,0.1268,0.1429,0.1429,0.1268,0.1940,0.1429,0.0811,0.1268,0.0667,0.1429,0.1111,0.1268,0.1594,0.1268,0.1111,0.1429,0.1111,0.1765,0.1268,0.1268,0.1111,0.1594
user_28,0.0959,0.1268,0.0811,0.0526,0.0811,0.1594,0.1268,0.1111,0.1429,0.1429,0.0959,0.0667,0.0667,0.1429,0.1111,0.1268,0.1111,0.1594,0.1111,0.1268,0.1111,0.0811,0.1268,0.1268,0.0526,0.1765,0.1429,0.1268,1.0000,0.1111,0.0959,0.0959,0.1429,0.1268,0.1268,0.0959,0.0526,0.1111,0.0959,0.1268,0.1111,0.1268,0.1111,0.0959,0.1594,0.1111,0.0959,0.1594,0.1429,0.1268
user_29,0.1429,0.1765,0.1594,0.1429,0.1429,0.1429,0.2121,0.1268,0.1429,0.2121,0.2121,0.2121,0.1268,0.2121,0.2121,0.2121,0.1111,0.2308,0.1268,0.1429,0.1268,0.1940,0.1429,0.1111,0.1111,0.1268,0.1594,0.1429,0.1111,1.0000,0.1429,0.1594,0.2308,0.1594,0.1268,0.2308,0.0959,0.1268,0.1940,0.2121,0.1765,0.1594,0.1111,0.1429,0.2121,0.1429,0.1429,0.1429,0.1765,0.1111
user_30,0.1594,0.2308,0.1765,0.1268,0.1429,0.1594,0.1429,0.1765,0.1765,0.2121,0.2500,0.1429,0.1111,0.1940,0.2121,0.0811,0.2308,0.1111,0.2500,0.1429,0.1765,0.0959,0.1594,0.1940,0.1594,0.1594,0.1594,0.1429,0.0959,0.1429,1.0000,0.1940,0.1268,0.1594,0.1268,0.1429,0.1594,0.1268,0.1429,0.1594,0.1594,0.1594,0.1429,0.1429,0.1765,0.1429,0.2308,0.1429,0.1594,0.1594
user_31,0.2121,0.1268,0.1268,0.1268,0.1940,0.1268,0.1268,0.1940,0.1765,0.1429,0.2121,0.1429,0.1429,0.1429,0.1429,0.1268,0.1940,0.1765,0.2121,0.1594,0.2308,0.0959,0.1594,0.1429,0.1429,0.1594,0.1765,0.1268,0.0959,0.1594,0.1940,1.0000,0.1429,0.2500,0.1594,0.1940,0.1429,0.1594,0.1429,0.2121,0.1765,0.1765,0.1594,0.1268,0.2308,0.1765,0.1429,0.1594,0.1940,0.2308
user_32,0.1429,0.0959,0.1594,0.1429,0.1111,0.1940,0.1940,0.1268,0.0811,0.2308,0.1765,0.1594,0.1111,0.1594,0.2121,0.1594,0.1594,0.2121,0.1765,0.1940,0.1429,0.1940,0.1429,0.1429,0.1111,0.1268,0.0959,0.1940,0.1429,0.2308,0.1268,0.1429,1.0000,0.1594,0.0667,0.1429,0.1268,0.1268,0.1594,0.1940,0.1111,0.1111,0.1429,0.2308,0.1940,0.1594,0.1429,0.1765,0.1594,0.1594
user_33,0.1594,0.1940,0.1429,0.1111,0.1940,0.1111,0.1268,0.1765,0.1429,0.1594,0.1765,0.2308,0.1111,0.1268,0.1765,0.1765,0.1268,0.1594,0.1594,0.1765,0.1111,0.1268,0.1594,0.0959,0.1268,0.1594,0.1429,0.1429,0.1268,0.1594,0.1594,0.2500,0.1594,1.0000,0.0959,0.2308,0.0959,0.1765,0.1429,0.1940,0.1940,0.1429,0.1111,0.1111,0.1765,0.1594,0.1429,0.1765,0.1765,0.2121
user_34,0.1111,0.1268,0.1594,0.0811,0.1111,0.1594,0.1765,0.1268,0.1765,0.1268,0.1594,0.1111,0.1429,0.1268,0.0959,0.1429,0.1268,0.0959,0.1765,0.1429,0.2308,0.1429,0.1111,0.1765,0.1268,0.1429,0.1765,0.0811,0.1268,0.1268,0.1268,0.1594,0.0667,0.0959,1.0000,0.1940,0.1429,0.1429,0.1429,0.1594,0.1111,0.1594,0.1111,0.1429,0.1111,0.0959,0.1429,0.1594,0.1111,0.1268
user_35,0.2500,0.2308,0.1765,0.1268,0.1429,0.0811,0.1268,0.2698,0.2121,0.1111,0.1429,0.1594,0.1594,0.1268,0.1765,0.1111,0.0667,0.1111,0.1268,0.1268,0.1594,0.0811,0.1594,0.1429,0.1429,0.1765,0.2121,0.1268,0.0959,0.2308,0.1429,0.1940,0.1429,0.2308,0.1940,1.0000,0.1268,0.1268,0.1594,0.1429,0.2121,0.2121,0.2308,0.1268,0.1765,0.0959,0.1765,0.1765,0.1111,0.1940
user_36,0.1594,0.0959,0.1429,0.1111,0.1429,0.0811,0.0959,0.1765,0.1765,0.0959,0.1594,0.1268,0.1429,0.0959,0.0959,0.0959,0.1268,0.0811,0.1594,0.1111,0.1765,0.1268,0.0959,0.1594,0.3333,0.0811,0.1765,0.0667,0.0526,0.0959,0.1594,0.1429,0.1268,0.0959,0.1429,0.1268,1.0000,0.0811,0.1111,0.1429,0.1940,0.1111,0.1429,0.1111,0.1111,0.1111,0.1429,0.1429,0.0959,0.1268
user_37,0.1765,0.0811,0.1111,0.1429,0.1429,0.2121,0.1111,0.1111,0.1268,0.1268,0.1429,0.1429,0.1594,0.1111,0.1429,0.1268,0.1765,0.1111,0.1765,0.0959,0.0811,0.1111,0.1111,0.1429,0.0959,0.1765,0.1268,0.1429,0.1111,0.1268,0.1268,0.1594,0.1268,0.1765,0.1429,0.1268,0.0811,1.0000,0.1594,0.1765,0.1268,0.1429,0.1594,0.1594,0.1429,0.1111,0.1268,0.1765,0.1765,0.2121
user_38,0.1429,0.1765,0.1940,0.1765,0.1594,0.1765,0.0667,0.1268,0.1268,0.2500,0.1594,0.1940,0.0959,0.1594,0.2121,0.1594,0.1268,0.1268,0.1594,0.1765,0.1429,0.2500,0.1765,0.0959,0.1765,0.1429,0.0959,0.1111,0.0959,0.1940,0.1429,0.1429,0.1594,0.1429,0.1429,0.1594,0.1111,0.1594,1.0000,0.2121,0.1429,0.0959,0.1429,0.1765,0.1594,0.1429,0.1429,0.1940,0.1765,0.1429
user_39,0.1268,0.0811,0.1429,0.0959,0.1429,0.1765,0.1429,0.1268,0.2500,0.2500,0.2121,0.1940,0.1111,0.1765,0.1940,0.1765,0.1940,0.2121,0.1765,0.1429,0.1429,0.1940,0.1268,0.0811,0.1111,0.1765,0.1594,0.1268,0.1268,0.2121,0.1594,0.2121,0.1940,0.1940,0.1594,0.1429,0.1429,0.1765,0.2121,1.0000,0.1594,0.1765,0.1594,0.1940,0.2121,0.1940,0.1268,0.1940,0.1940,0.1765
user_40,0.1429,0.1429,0.1594,0.1268,0.1268,0.1111,0.1429,0.2121,0.1594,0.0959,0.1429,0.1268,0.0959,0.1111,0.1765,0.1268,0.1429,0.1268,0.1111,0.1765,0.1594,0.1111,0.1268,0.1594,0.1940,0.0811,0.1594,0.1594,0.1111,0.1765,0.1594,0.1765,0.1111,0.1940,0.1111,0.2121,0.1940,0.1268,0.1429,0.1594,1.0000,0.1111,0.1594,0.1268,0.1429,0.1765,0.1268,0.1594,0.0811,0.1765
user_41,0.1940,0.1111,0.1765,0.1111,0.0959,0.1429,0.0959,0.1429,0.1765,0.1268,0.1765,0.1429,0.0959,0.1268,0.0526,0.0959,0.1268,0.0811,0.1429,0.1111,0.1429,0.0959,0.1594,0.2121,0.1940,0.1765,0.1765,0.1268,0.1268,0.1594,0.1594,0.1765,0.1111,0.1429,0.1594,0.2121,0.1111,0.1429,0.0959,0.1765,0.1111,1.0000,0.1429,0.1594,0.1429,0.2121,0.1765,0.1594,0.0959,0.1765
user_42,0.1765,0.1111,0.1429,0.1765,0.1268,0.1765,0.1111,0.1765,0.1429,0.0959,0.1594,0.1429,0.1268,0.1111,0.1111,0.1429,0.1429,0.1429,0.1765,0.1111,0.1111,0.1268,0.1429,0.1111,0.1940,0.1268,0.1940,0.1111,0.1111,0.1111,0.1429,0.1594,0.1429,0.1111,0.1111,0.2308,0.1429,0.1594,0.1429,0.1594,0.1594,0.1429,1.0000,0.1765,0.1594,0.1594,0.0959,0.1594,0.1765,0.1765
user_43,0.1594,0.0667,0.1940,0.1111,0.1111,0.1940,0.1429,0.1111,0.0959,0.1268,0.1429,0.1268,0.1111,0.1111,0.1594,0.1594,0.1765,0.0959,0.1429,0.1111,0.0959,0.1765,0.1268,0.1268,0.1594,0.1429,0.1765,0.1429,0.0959,0.1429,0.1429,0.1268,0.2308,0.1111,0.1429,0.1268,0.1111,0.1594,0.1765,0.1940,0.1268,0.1594,0.1765,1.0000,0.1594,0.2500,0.1429,0.2698,0.1268,0.1765
user_44,0.1765,0.1429,0.1594,0.1268,0.1765,0.1940,0.1429,0.1429,0.1765,0.1940,0.1594,0.1594,0.1268,0.1940,0.1429,0.2121,0.1765,0.1429,0.1429,0.1429,0.1429,0.1268,0.1765,0.1594,0.1429,0.1111,0.1429,0.1111,0.1594,0.2121,0.1765,0.2308,0.1940,0.1765,0.1111,0.1765,0.1111,0.1429,0.1594,0.2121,0.1429,0.1429,0.1594,0.1594,1.0000,0.1940,0.1111,0.1765,0.1429,0.1594
user_45,0.2121,0.1268,0.1765,0.1765,0.1429,0.2121,0.1594,0.1765,0.1429,0.1268,0.1765,0.1268,0.1111,0.0959,0.1111,0.1429,0.2121,0.1429,0.1765,0.0959,0.1111,0.1429,0.1268,0.1940,0.1940,0.1594,0.1940,0.1765,0.1111,0.1429,0.1429,0.1765,0.1594,0.1594,0.0959,0.0959,0.1111,0.1111,0.1429,0.1940,0.1765,0.2121,0.1594,0.2500,0.1940,1.0000,0.1111,0.1429,0.1594,0.2121
user_46,0.1940,0.1940,0.1594,0.1268,0.1429,0.1594,0.0959,0.1765,0.1940,0.1111,0.1765,0.1268,0.1940,0.1429,0.1268,0.0526,0.1765,0.1429,0.2500,0.0667,0.1940,0.0959,0.1940,0.1940,0.1268,0.1429,0.1765,0.1268,0.0959,0.1429,0.2308,0.1429,0.1429,0.1429,0.1429,0.1765,0.1429,0.1268,0.1429,0.1268,0.1268,0.1765,0.0959,0.1429,0.1111,0.1111,1.0000,0.1268,0.1594,0.1594
user_47,0.1268,0.0959,0.1429,0.0959,0.1111,0.1594,0.1268,0.1429,0.1111,0.1268,0.1268,0.1765,0.0959,0.1940,0.1594,0.2121,0.1429,0.1594,0.1268,0.1765,0.0959,0.1765,0.0959,0.1594,0.1429,0.1940,0.1765,0.1268,0.1594,0.1429,0.1429,0.1594,0.1765,0.1765,0.1594,0.1765,0.1429,0.1765,0.1940,0.1940,0.1594,0.1594,0.1594,0.2698,0.1765,0.1429,0.1268,1.0000,0.1111,0.2308
user_48,0.1594,0.1594,0.1429,0.0959,0.2308,0.1765,0.1940,0.1429,0.1429,0.1429,0.1940,0.1429,0.1765,0.1594,0.1429,0.1594,0.1111,0.1940,0.1429,0.0811,0.1429,0.1268,0.1594,0.1111,0.1111,0.1429,0.1594,0.1111,0.1429,0.1765,0.1594,0.1940,0.1594,0.1765,0.1111,0.1111,0.0959,0.1765,0.1765,0.1940,0.0811,0.0959,0.1765,0.1268,0.1429,0.1594,0.1594,0.1111,1.0000,0.1940
user_49,0.2121,0.1429,0.1429,0.1111,0.1268,0.1268,0.1429,0.1940,0.1268,0.1429,0.1765,0.1765,0.1594,0.1429,0.1429,0.1268,0.1765,0.1429,0.1429,0.1268,0.1429,0.1111,0.1268,0.1594,0.1268,0.2121,0.1594,0.1594,0.1268,0.1111,0.1594,0.2308,0.1594,0.2121,0.1268,0.1940,0.1268,0.2121,0.1429,0.1765,0.1765,0.1765,0.1765,0.1765,0.1594,0.2121,0.1594,0.2308,0.1940,1.0000
